keyword,hit_count,hit_ratio,non_hit_count,non_hit_ratio,lift
abusive relationship,1,0.0028,0,0.0,inf
repressed trauma,1,0.0028,0,0.0,inf
rich girl,1,0.0028,0,0.0,inf
revitalization,1,0.0028,0,0.0,inf
death of mother,1,0.0028,0,0.0,inf
neo-nazism,1,0.0028,0,0.0,inf
african american history,3,0.0083,1,0.0001,60.84
in-laws,3,0.0083,1,0.0001,60.84
pregnant,2,0.0055,1,0.0001,40.56
bomb vest,2,0.0055,1,0.0001,40.56
grieving man,4,0.0111,2,0.0003,40.56
hedge fund,2,0.0055,1,0.0001,40.56
finance,2,0.0055,1,0.0001,40.56
gunman,2,0.0055,1,0.0001,40.56
alcohol abuse,4,0.0111,2,0.0003,40.56
rock star,2,0.0055,1,0.0001,40.56
screwball comedy,2,0.0055,1,0.0001,40.56
high speed,2,0.0055,1,0.0001,40.56
911 call,2,0.0055,1,0.0001,40.56
catfish,2,0.0055,1,0.0001,40.56
house,2,0.0055,1,0.0001,40.56
male egos,2,0.0055,1,0.0001,40.56
far west,4,0.0111,2,0.0003,40.56
save the day,2,0.0055,1,0.0001,40.56
power dynamics,2,0.0055,1,0.0001,40.56
hopeless romantic,2,0.0055,1,0.0001,40.56
night club,2,0.0055,1,0.0001,40.56
hit by a car,2,0.0055,1,0.0001,40.56
american frontier,4,0.0111,2,0.0003,40.56
estranged son,2,0.0055,1,0.0001,40.56
drug deal,2,0.0055,1,0.0001,40.56
egocentrism,2,0.0055,1,0.0001,40.56
engagement party,2,0.0055,1,0.0001,40.56
erotic,2,0.0055,1,0.0001,40.56
nebraska,2,0.0055,1,0.0001,40.56
crooked politician,2,0.0055,1,0.0001,40.56
police interrogation,2,0.0055,1,0.0001,40.56
puzzlement,3,0.0083,2,0.0003,30.42
cyber terrorism,3,0.0083,2,0.0003,30.42
british spy,3,0.0083,2,0.0003,30.42
female spy,3,0.0083,2,0.0003,30.42
task force,3,0.0083,2,0.0003,30.42
policial,3,0.0083,2,0.0003,30.42
gold heist,3,0.0083,2,0.0003,30.42
art heist,3,0.0083,2,0.0003,30.42
international manhunt,3,0.0083,2,0.0003,30.42
police drama,3,0.0083,2,0.0003,30.42
actor,3,0.0083,2,0.0003,30.42
black humor,4,0.0111,3,0.0004,27.04
brutal violence,4,0.0111,3,0.0004,27.04
american wilderness,4,0.0111,3,0.0004,27.04
fears,2,0.0055,2,0.0003,20.28
mormons,2,0.0055,2,0.0003,20.28
dancer,1,0.0028,1,0.0001,20.28
age difference,3,0.0083,3,0.0004,20.28
persona,2,0.0055,2,0.0003,20.28
research laboratory,1,0.0028,1,0.0001,20.28
song recording,1,0.0028,1,0.0001,20.28
plasticine,2,0.0055,2,0.0003,20.28
detective comedy,2,0.0055,2,0.0003,20.28
nightclub owner,1,0.0028,1,0.0001,20.28
forty something,1,0.0028,1,0.0001,20.28
late coming of age,1,0.0028,1,0.0001,20.28
black cop,2,0.0055,2,0.0003,20.28
paralysis,2,0.0055,2,0.0003,20.28
creatures,2,0.0055,2,0.0003,20.28
america,2,0.0055,2,0.0003,20.28
time machine,2,0.0055,2,0.0003,20.28
disguise,2,0.0055,2,0.0003,20.28
bank manager,3,0.0083,3,0.0004,20.28
song writing,1,0.0028,1,0.0001,20.28
swedish family,2,0.0055,2,0.0003,20.28
green zone,2,0.0055,2,0.0003,20.28
new york state,1,0.0028,1,0.0001,20.28
indian tribe,2,0.0055,2,0.0003,20.28
romantic thriller,1,0.0028,1,0.0001,20.28
american west,2,0.0055,2,0.0003,20.28
career vs love,1,0.0028,1,0.0001,20.28
evil force,1,0.0028,1,0.0001,20.28
creative director,1,0.0028,1,0.0001,20.28
music recording,1,0.0028,1,0.0001,20.28
police psychologist,3,0.0083,3,0.0004,20.28
highway of death,2,0.0055,2,0.0003,20.28
original musical,1,0.0028,1,0.0001,20.28
snowman,2,0.0055,2,0.0003,20.28
miscegenation,3,0.0083,3,0.0004,20.28
british school system,4,0.0111,4,0.0005,20.28
missing brother,2,0.0055,2,0.0003,20.28
socially awkward,1,0.0028,1,0.0001,20.28
single take,4,0.0111,4,0.0005,20.28
blindfold,2,0.0055,2,0.0003,20.28
louisiana,3,0.0083,3,0.0004,20.28
graduation party,1,0.0028,1,0.0001,20.28
ensemble cast,1,0.0028,1,0.0001,20.28
magical creature,2,0.0055,2,0.0003,20.28
comedy,2,0.0055,2,0.0003,20.28
son of the boss,1,0.0028,1,0.0001,20.28
terrorist group,3,0.0083,3,0.0004,20.28
didactic,2,0.0055,2,0.0003,20.28
ghostbuster,1,0.0028,1,0.0001,20.28
badlands,2,0.0055,2,0.0003,20.28
older woman seduces younger guy,1,0.0028,1,0.0001,20.28
nuclear family,2,0.0055,2,0.0003,20.28
public breakup,1,0.0028,1,0.0001,20.28
uber,1,0.0028,1,0.0001,20.28
missing friend,2,0.0055,2,0.0003,20.28
fear of the dark,2,0.0055,2,0.0003,20.28
helicopter parenting,1,0.0028,1,0.0001,20.28
trans woman,4,0.0111,4,0.0005,20.28
vintage fashion,1,0.0028,1,0.0001,20.28
claymation,2,0.0055,2,0.0003,20.28
1850s,2,0.0055,2,0.0003,20.28
serie argentina,1,0.0028,1,0.0001,20.28
old flame,3,0.0083,3,0.0004,20.28
craigslist,1,0.0028,1,0.0001,20.28
utah,2,0.0055,2,0.0003,20.28
caper comedy,3,0.0083,3,0.0004,20.28
oregon trail,4,0.0111,4,0.0005,20.28
male stripper,1,0.0028,1,0.0001,20.28
identity,2,0.0055,2,0.0003,20.28
chicken,2,0.0055,2,0.0003,20.28
cosmetic surgery,2,0.0055,2,0.0003,20.28
black love,1,0.0028,1,0.0001,20.28
male stripping,1,0.0028,1,0.0001,20.28
florist,1,0.0028,1,0.0001,20.28
nude swimming,1,0.0028,1,0.0001,20.28
instant attraction,1,0.0028,1,0.0001,20.28
ancient artifact,1,0.0028,1,0.0001,20.28
cinematographer,1,0.0028,1,0.0001,20.28
world hunger,1,0.0028,1,0.0001,20.28
female stalker,4,0.0111,4,0.0005,20.28
overcoming fears,2,0.0055,2,0.0003,20.28
writer's block,2,0.0055,2,0.0003,20.28
snowstorm,1,0.0028,1,0.0001,20.28
twister,1,0.0028,1,0.0001,20.28
predator,1,0.0028,1,0.0001,20.28
christmas eve,4,0.0111,5,0.0007,16.22
squirrel,4,0.0111,5,0.0007,16.22
teenage killer,4,0.0111,5,0.0007,16.22
police chief,3,0.0083,4,0.0005,15.21
gun fight,3,0.0083,4,0.0005,15.21
spy action,3,0.0083,4,0.0005,15.21
age-gap relationship,3,0.0083,4,0.0005,15.21
personal assistant,3,0.0083,4,0.0005,15.21
mi6,3,0.0083,4,0.0005,15.21
new england,3,0.0083,4,0.0005,15.21
questioning,3,0.0083,4,0.0005,15.21
demonic,2,0.0055,3,0.0004,13.52
horror for children,2,0.0055,3,0.0004,13.52
hotel chain,2,0.0055,3,0.0004,13.52
social dynamics,2,0.0055,3,0.0004,13.52
jewish girl,2,0.0055,3,0.0004,13.52
young dead girl,2,0.0055,3,0.0004,13.52
attack,2,0.0055,3,0.0004,13.52
consulate,2,0.0055,3,0.0004,13.52
psychological drama,4,0.0111,6,0.0008,13.52
dead daughter,2,0.0055,3,0.0004,13.52
moonlighting,2,0.0055,3,0.0004,13.52
genetic scientist,2,0.0055,3,0.0004,13.52
former lovers,2,0.0055,3,0.0004,13.52
daughter's wedding,2,0.0055,3,0.0004,13.52
supervisor,2,0.0055,3,0.0004,13.52
anarchism,2,0.0055,3,0.0004,13.52
food shortage,2,0.0055,3,0.0004,13.52
internship,2,0.0055,3,0.0004,13.52
bartender,4,0.0111,6,0.0008,13.52
secret prison,2,0.0055,3,0.0004,13.52
tropical resort,2,0.0055,3,0.0004,13.52
parole,2,0.0055,3,0.0004,13.52
thailand,2,0.0055,3,0.0004,13.52
whirlwind romance,2,0.0055,3,0.0004,13.52
bar mitzvah,2,0.0055,3,0.0004,13.52
wish,3,0.0083,5,0.0007,12.17
construction worker,3,0.0083,5,0.0007,12.17
volcanic eruption,3,0.0083,5,0.0007,12.17
straw hat,3,0.0083,5,0.0007,12.17
sexuality,4,0.0111,7,0.001,11.59
stand-up comedian,4,0.0111,7,0.001,11.59
toxic masculinity,4,0.0111,7,0.001,11.59
2010s,5,0.0139,9,0.0012,11.27
offbeat,7,0.0194,13,0.0018,10.92
cine uruguayo,4,0.0111,8,0.0011,10.14
fake dating,1,0.0028,2,0.0003,10.14
abandoned mine,1,0.0028,2,0.0003,10.14
chance meeting,2,0.0055,4,0.0005,10.14
aspiring actress,1,0.0028,2,0.0003,10.14
stardom,1,0.0028,2,0.0003,10.14
child hero,2,0.0055,4,0.0005,10.14
villa,2,0.0055,4,0.0005,10.14
uruguay,4,0.0111,8,0.0011,10.14
teens,1,0.0028,2,0.0003,10.14
conceited,2,0.0055,4,0.0005,10.14
cyberwar,2,0.0055,4,0.0005,10.14
gang of thieves,3,0.0083,6,0.0008,10.14
2020s,2,0.0055,4,0.0005,10.14
man vs machine,2,0.0055,4,0.0005,10.14
action thriller,2,0.0055,4,0.0005,10.14
agnostic,2,0.0055,4,0.0005,10.14
foreboding,5,0.0139,10,0.0014,10.14
mountain climbing,4,0.0111,8,0.0011,10.14
extortion,1,0.0028,2,0.0003,10.14
foreign country,1,0.0028,2,0.0003,10.14
malicious,2,0.0055,4,0.0005,10.14
christmas thriller,2,0.0055,4,0.0005,10.14
arrogant,2,0.0055,4,0.0005,10.14
destination wedding,3,0.0083,6,0.0008,10.14
rugby,4,0.0111,8,0.0011,10.14
party,1,0.0028,2,0.0003,10.14
shakespeare in modern dress,1,0.0028,2,0.0003,10.14
pirate,3,0.0083,6,0.0008,10.14
sponsorship,2,0.0055,4,0.0005,10.14
young,2,0.0055,4,0.0005,10.14
legal immigrant,1,0.0028,2,0.0003,10.14
law school,1,0.0028,2,0.0003,10.14
rabbi,2,0.0055,4,0.0005,10.14
soulcatcher,1,0.0028,2,0.0003,10.14
actress,1,0.0028,2,0.0003,10.14
