show_title,cumulative_weeks_in_top_10
"Yo soy Betty, la fea",30
Squid Game,29
Café con aroma de mujer,28
Manifest,25
All Quiet on the Western Front,23
Bridgerton,22
Alchemy of Souls,21
Under Paris,21
The Super Mario Bros. Movie,21
Extraordinary Attorney Woo,21
Wednesday,20
The Boss Baby,20
Stranger Things,19
RRR (Hindi),18
Through My Window,18
Despicable Me 2,18
The Night Agent,16
Hometown Cha-Cha-Cha,16
Blood Red Sky,16
The Queen of Flow,16
Sing,16
Carinha de Anjo,15
Queen of Tears,15
La Reina del Sur,15
Nowhere,15
Red Notice,14
Minions,14
Maid,14
Money Heist,14
The Glory,13
Ozark,13
Sing 2,13
"Newly Rich, Newly Poor",13
The Marked Heart,13
Business Proposal,13
Sonic the Hedgehog,12
Shrek,12
Society of the Snow,12
DAN DA DAN,12
Dr. Seuss' The Grinch,12
The Lincoln Lawyer,12
Firefly Lane,11
Ms. Rachel,11
Minions: The Rise of Gru,11
Crash Course in Romance,11
King the Land,11
All of Us Are Dead,11
Love Next Door,11
Paw Patrol: The Movie,11
My Demon,11
Troll,11
The Croods,11
Little Women,11
Queen Charlotte: A Bridgerton Story,10
You,10
Sex/Life,10
Twenty Five Twenty One,10
Demon Slayer: Kimetsu no Yaiba,10
Miss Night and Day,10
Wrong Side of the Tracks,10
The Gentlemen,10
The King's Affection,10
Carrossel,10
Counterattack,10
Chiquititas,10
Inventing Anna,10
SAKAMOTO DAYS,10
Leo,10
Dear Child,9
Lost Bullet,9
Despicable Me 3,9
Despicable Me,9
Despicable Me 4,9
Doctor Slump,9
When Life Gives You Tangerines,9
Alice in Borderland,9
My Name Is Vendetta,9
Cobra Kai,9
Outer Banks,9
Arcane,9
Black Crab,9
Our Blues,9
The Secret Life of Pets 2,9
The Secret Life of Pets,9
Strong Girl Nam-soon,9
Family Pack,9
Destined with You,8
Pasión de Gavilanes,8
Adolescence,8
Fake Profile,8
Under the Queen's Umbrella,8
Emily in Paris,8
ONE PIECE,8
The Crown,8
Forgotten Love,8
Baby Reindeer,8
The Wages of Fear,8
When the Phone Rings,8
Rurouni Kenshin: The Beginning,8
Don't Look Up,8
Vikings: Valhalla,8
Welcome to Samdal-ri,8
Virgin River,8
The Takedown,8
The Recruit,8
Young Lady and Gentleman,8
The Tearsmith,8
My Life With the Walter Boys,8
The Empress,8
Fool Me Once,8
Carry-On,8
The Children's Train,8
Our Beloved Summer,8
The Witcher,8
The Cook of Castamar,8
Lupin,8
The Adam Project,8
Forecasting Love and Weather,8
Romance in the House,7
3 Body Problem,7
Juvenile Justice,7
A Beautiful Life,7
Monsters,7
Hospital Playlist,7
Paradise,7
Love Is Blind,7
Doctor Cha,7
Kill Boksoon,7
In Good Hands,7
Glass Onion: A Knives Out Mystery,7
The Sea Beast,7
Berlin,7
"Nevertheless,",7
Ginny & Georgia,7
Maharaja,7
The Sandman,7
Back to the Outback,7
Gemini Man,7
My Happy Marriage,7
Major Grom: Plague Doctor,7
The Good Bad Mother,7
Loving Adults,7
The Accident,7
Trolls,7
The Atypical Family,7
One Day,7
The Christmas Chronicles,7
True Beauty,7
Hotel Transylvania 3: Summer Vacation,7
The Abyss,7
How the Grinch Stole Christmas,7
Falling for Christmas,7
Extraction 2,7
Welcome to Eden,7
Vivo,7
Back in Action,7
Another Self,7
Fatal Seduction,6
Damsel,6
Supacell,6
Physical: 100,6
Spoiled Brats,6
Hotel Transylvania 2,6
Weak Hero,6
Culinary Class Wars,6
Alba,6
Desperate Lies,6
AKA,6
Prison Break,6
Purple Hearts,6
Hustle,6
Hunger,6
Dynasty,6
Roald Dahl's Matilda The Musical,6
"XO, Kitty",6
Rebel Ridge,6
Sex Education,6
Senior Year,6
Reborn Rich,6
Raising Voices,6
Vicky and Her Mystery,6
The Claus Family,6
CoComelon Lane,6
The Asunta Case,6
CoComelon,6
Clickbait,6
Lucky Baskhar,6
Home,6
The Unbroken Voice,6
The Good Doctor,6
Nobody Wants This,6
Gangubai Kathiawadi,6
Castaway Diva,6
The Gray Man,6
The Five Juanas,6
Cassandra,6
The Forgotten Battle,6
Obliterated,6
Avatar The Last Airbender,6
High Heat,6
The Madness,6
Baki Hanma,6
The Surrogacy,6
Furies,6
The Man from Toronto,6
The Snitch Cartel: Origins,6
Beckham,6
Beauty in Black,6
The Last Mercenary,6
The Life List,6
New Amsterdam,6
The Union,6
Good Girls,6
Griselda,6
The Mother,6
Mr. Queen,6
The Perfect Couple,6
Black Doves,6
Young Sheldon,6
Zero Day,6
You Are So Not Invited to My Bat Mitzvah,5
Jigra,5
Wish Dragon,5
Woman of the Dead,5
A Boy Called Christmas,5
Jack Reacher: Never Go Back,5
A Family Affair,5
Xtreme,5
Woody Woodpecker Goes to Camp,5
A Man on the Inside,5
Where the Crawdads Sing,5
Elite,5
Senna,5
See You in My 19th Life,5
Mother of the Bride,5
Gyeongseong Creature,5
Grudge,5
Mimi,5
Money Heist: Korea - Joint Economic Area,5
Mission: Cross,5
Black Mirror,5
The Platform 2,5
Shrek 2,5
Shooter,5
Shadow and Bone,5
Ragnarok,5
Leave the World Behind,5
La Palma,5
Bloodshot,5
Bloodhounds,5
Murder Mystery 2,5
Godzilla Minus One,5
God's Crooked Lines,5
The Perfect Family,5
We Have a Ghost,5
A Perfect Story,5
A Perfect Pairing,5
Queens on the Run,5
Diary of a Gigolo,5
Simone Biles Rising,5
Ad Vitam,5
Let Go,5
Delicious in Dungeon,5
How To Make Millions Before Grandma Dies,5
Lift,5
Beyond the Universe,5
Me Time,5
My Little Pony: A New Generation,5
The Manny,5
Uncharted,5
All American,5
Faithfully Yours,5
FUBAR,5
Sooryavanshi,5
All the Light We Cannot See,5
Locke & Key,5
Fate: The Winx Saga,5
Perfect Match,5
Peaky Blinders,5
Dark Desire,5
The Tinder Swindler,5
The Tailor,5
Ballerina,5
The Unforgivable,5
Bullet Train,5
Breathless,5
Never Have I Ever,5
Narco-Saints,5
My Name,5
Squid Game: The Challenge,5
Sweet Tooth,5
Sweet Magnolias,5
Painkiller,5
Pact of Silence,5
American Nightmare,5
American Murder: Laci Peterson,5
Bad Dinosaurs,5
The Trauma Code: Heroes on Call,5
Make Me Believe,5
The Last Kingdom,5
Burning Body,5
Love Tactics,5
Love Hard,5
How I Fell in Love with a Gangster,5
PIECES OF HER,5
The 8 Show,5
That Christmas,5
"Thank You, Next",5
Our Little Secret,5
Confessions of an Invisible Girl,5
Colors of Evil: Red,5
Anatomy of a Scandal,5
The Great Indian Kapil Show,5
Noah,5
Gangs of Galicia,5
The Umbrella Academy,5
Tokyo Swindlers,5
Tin & Tina,5
Trouble,5
Trolls Band Together,5
The Chestnut Man,5
The Brothers Sun,5
From Scratch,5
Friendzone,5
Lucifer,5
Through My Window 3: Looking at You,5
Thirty-Nine,5
The Diplomat,5
Heart of Stone,5
BEEF,5
The Whole Truth,5
The Watcher,5
Luther: The Fallen Sun,5
The Gardener,5
"El Rey, Vicente Fernández",5
Restless,5
Running Point,5
Resident Playbook,5
Resident Alien,5
Reptile,5
1899,5
Incantation,5
Worst Ex Ever,4
Just Go With It,4
Inheritance,4
KAOS,4
13 Hours: The Secret Soldiers of Benghazi,4
20th Century Girl,4
You Do You,4
You People,4
Your Place or Mine,4
Yu Yu Hakusho,4
Zom 100: Bucket List of the Dead,4
365 Days: This Day,4
Missing You,4
The Pirates: The Last Royal Treasure,4
Who Were We Running From?,4
Who is Erin Carter?,4
Wingwomen,4
Remarriage & Desires,4
Dubai Bling,4
Resort to Love,4
Echoes,4
El infierno,4
Intimacy,4
World War II: From the Frontlines,4
Celebrity,4
Chicken Run: Dawn of the Nugget,4
The Glass Dome,4
Hit & Run,4
Madame Web,4
Atlas,4
The Woman in the House Across the Street from the Girl in the Window,4
Hellbound,4
Maharaj,4
The Curse of Bridge Hollow,4
The Deliverance,4
Chickenhare and the Hamster of Darkness,4
Chor Nikal Ke Bhaga,4
Chupa,4
The Electric State,4
Number 24,4
Army of Thieves,4
Thursday's Widows,4
Honeymoon with My Mother,4
"Love, Divided",4
Lucca's World,4
Luckiest Girl Alive,4
Hidden Strike,4
Hierarchy,4
Officer Black Belt,4
One Hundred Years of Solitude,4
The Cage,4
The Chalk Line,4
American Primeval,4
Titanic,4
The Ultimatum: Marry or Move On,4
The Uncanny Counter,4
Ganglands,4
Geek Girl,4
No Pressure,4
The Good Nurse,4
Captivating the King,4
Carter,4
The Great Seduction,4
The Guilty,4
The Equalizer 3,4
The Fall of the House of Usher,4
Anonymously Yours,4
Anthracite,4
Too Hot to Handle,4
The Åre Murders,4
The Christmas Chronicles: Part Two,4
The Bad Guys,4
Cold Pursuit,4
The Breakthrough,4
Orion and the Dark,4
Out of my league,4
Crew,4
PAW Patrol: The Mighty Movie,4
PULSE,4
House of Ninjas,4
How It Ends,4
Lost in Space,4
Love Is Blind: UK,4
Toscana,4
Trigger Warning,4
Triptych,4
American Assassin,4
The In Between,4
Burning Betrayal,4
The Killer,4
The Lady's Companion,4
Nimona,4
No Good Deed,4
No Limit,4
Furioza,4
Gabby's Dollhouse,4
Man on Fire,4
The Trip,4
American Murder: Gabby Petito,4
Pain Hustlers,4
Parasyte: The Grey,4
Suits,4
Criminal Code,4
Crooks,4
Cyberpunk: Edgerunners,4
Sweet Girl,4
Stay Close,4
Narcos: Mexico,4
Narvik,4
The Stronghold,4
Badland Hunters,4
Bandidos,4
The Tourist,4
The Seven Deadly Sins,4
Dangerous Liaisons,4
Darlings,4
Stuck Together,4
Pedro el escamoso,4
Fast & Furious Presents: Hobbs & Shaw,4
Lonely Planet,4
Lost Bullet 2,4
Turbo,4
Amaran,4
Twilight,4
Uglies,4
Hot Wheels Let's Race,4
Phir Aayi Hasseen Dillruba,4
Day Shift,4
