combo,count,avg_hours
"('anxious', 'challenge', 'nostalgic', 'secret organization')",27,143008518.5185185
"('desperate', 'nostalgic', 'secret organization', 'suspense')",27,143008518.5185185
"('fictional game show', 'nostalgic', 'secret organization', 'suspense')",27,143008518.5185185
"('death game', 'nostalgic', 'secret organization', 'suspense')",27,143008518.5185185
"('disdainful', 'nostalgic', 'secret organization', 'suspense')",27,143008518.5185185
"('cruelty', 'game', 'nostalgic', 'secret organization')",27,143008518.5185185
"('cruelty', 'death match', 'nostalgic', 'secret organization')",27,143008518.5185185
"('cruelty', 'nostalgic', 'secret organization', 'thriller')",27,143008518.5185185
"('anxious', 'cruelty', 'nostalgic', 'secret organization')",27,143008518.5185185
"('challenge', 'nostalgic', 'secret organization', 'survival')",27,143008518.5185185
"('challenge', 'frightened', 'nostalgic', 'secret organization')",27,143008518.5185185
"('challenge', 'nostalgic', 'secret organization', 'suspense')",27,143008518.5185185
"('cruelty', 'desperate', 'nostalgic', 'secret organization')",27,143008518.5185185
"('cruelty', 'fictional game show', 'nostalgic', 'secret organization')",27,143008518.5185185
"('cruelty', 'death game', 'nostalgic', 'secret organization')",27,143008518.5185185
