combo,count,avg_hours
"('nostalgic', 'secret organization', 'thriller')",27,143008518.5185185
"('frightened', 'nostalgic', 'thriller')",27,143008518.5185185
"('cruelty', 'frightened', 'secret organization')",27,143008518.5185185
"('cruelty', 'nostalgic', 'secret organization')",27,143008518.5185185
"('cruelty', 'frightened', 'nostalgic')",27,143008518.5185185
"('cruelty', 'secret organization', 'thriller')",27,143008518.5185185
"('cruelty', 'frightened', 'thriller')",27,143008518.5185185
"('challenge', 'fictional game show', 'game')",27,143008518.5185185
"('death game', 'frightened', 'thriller')",27,143008518.5185185
"('death game', 'nostalgic', 'thriller')",27,143008518.5185185
"('cruelty', 'death game', 'secret organization')",27,143008518.5185185
"('cruelty', 'death game', 'frightened')",27,143008518.5185185
"('cruelty', 'death game', 'nostalgic')",27,143008518.5185185
"('cruelty', 'death game', 'thriller')",27,143008518.5185185
"('challenge', 'death game', 'secret organization')",27,143008518.5185185
