keyword,frequency
based on novel or book,909
romance,444
friendship,324
based on true story,244
love,216
coming of age,189
based on comic,187
anime,174
romcom,168
miniseries,158
based on manga,158
hilarious,150
high school,150
duringcreditsstinger,143
female protagonist,140
murder,139
supernatural,138
teen drama,130
thriller,115
magic,112
loving,111
super power,110
love triangle,110
amused,105
small town,104
based on webcomic or webtoon,102
period drama,98
psychological thriller,98
family,97
superhero,96
