keyword,growth(%),avg_hours
romcom,101.92307692307692,19907469.879518073
small town,69.23076923076923,38223821.65605096
high school,68.16801619433198,22869500.0
investigation,68.05555555555556,22153858.695652176
revenge,62.17948717948717,18245614.97326203
murder,16.36141636141636,21351746.031746034
survival,12.625418060200676,41823757.22543353
friendship,12.5,28635674.41860465
thriller,11.538461538461542,43849354.838709675
villain,10.769230769230766,8424776.785714285
magic,9.837278106508872,17771734.104046244
supernatural,9.440559440559435,25724673.913043477
sequel,7.115384615384617,12321774.744027304
romance,1.6025641025640969,24821434.426229507
new york city,-3.1354515050167246,23179657.14285714
anime,-5.811036789297652,11764973.262032086
love,-6.756756756756757,28291312.335958004
romantic,-7.001972386587778,23254304.63576159
hilarious,-9.615384615384617,26153641.61849711
based on true story,-11.057692307692314,18341660.079051383
illumination,-40.38461538461539,8589934.640522875
based on novel or book,,23323573.7009544
miniseries,,25387744.87471526
duringcreditsstinger,,10908765.432098765
amused,,22689115.044247787
female protagonist,,33911990.74074074
suspenseful,,34494522.613065325
coming of age,,28424766.839378238
based on comic,,20839052.63157895
based on manga,,11495714.285714285
